TILGANG1,TILGANG2,ANVENDELSE,TID,Pt
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1973,0.6016183564737868
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1974,0.6795450007127936
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1975,0.7203459033997239
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1976,0.8021714530938939
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1977,0.838197971965675
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1978,0.8913853377794629
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1979,0.936036152809368
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1980,0.9883838463277917
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1981,1.060602677678981
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1982,1.193777155830085
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1983,1.4017650359537923
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1984,1.2962971274708766
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1985,1.2758559450155134
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1986,1.2645393660977233
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1987,1.2198039612882507
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1988,1.260161921206481
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1989,1.2898253443857661
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1990,1.1524805612619176
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1991,1.1442830449696435
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1992,1.1790586039008881
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1993,1.0506319869258156
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1994,1.02096875044027
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1995,1.0877763667733489
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1996,1.0865448506427073
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1997,1.033237118752926
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1998,1.0416367369659059
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",1999,1.007199434483956
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2000,1.0826983447556366
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2001,1.0618071847992208
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2002,0.9830121883248756
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2003,1.00550301226731
Dansk produktion,010000 Landbrug og gartneri-(Tilgang),"100040x100050 Anden fødevareindustri (100040, 100050)",2004,1.0146330912342032
