BEHOLD,BRANCHE,PRISENHED,TID,INDHOLD
P.51g Faste bruttoinvesteringer,68300 Udlejning af erhvervsejendomme,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,68300 Udlejning af erhvervsejendomme,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"69700 Advokater, revisorer og virksomhedskonsulenter","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"69700 Advokater, revisorer og virksomhedskonsulenter",Løbende priser,1966,
P.51g Faste bruttoinvesteringer,71000 Arkitekter og rådgivende ingeniører,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,71000 Arkitekter og rådgivende ingeniører,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"72001 Forskning og udvikling, markedsmæssig","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"72001 Forskning og udvikling, markedsmæssig",Løbende priser,1966,
P.51g Faste bruttoinvesteringer,"72002 Forskning og udvikling, ikke-markedsmæssig","2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,"72002 Forskning og udvikling, ikke-markedsmæssig",Løbende priser,1966,
P.51g Faste bruttoinvesteringer,73000 Reklame- og analysebureauer,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,73000 Reklame- og analysebureauer,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,74750 Dyrlæger og anden videnservice,"2020-priser, kædede værdier",1966,
P.51g Faste bruttoinvesteringer,74750 Dyrlæger og anden videnservice,Løbende priser,1966,
P.51g Faste bruttoinvesteringer,77000 Udlejning og leasing af materiel,"2020-priser, kædede værdier",1966,
