BEHOLD,BRANCHE,TID,Pt
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2002,0.7169694626981059
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2003,0.7267007471490364
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2004,0.7327559542220846
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2005,0.7700432773417442
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2006,0.7975089406831914
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2007,0.8184860557768923
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2008,0.854245522851816
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2009,0.8355318551782205
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2010,0.8393105043961128
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2011,0.8508845829823082
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2012,0.8946190849088264
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2013,0.9063189990537271
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2014,0.9259259259259259
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2015,0.9377812781278129
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2016,0.9672528032619777
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2017,0.976154117232468
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2018,0.9410301069917889
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2019,0.9736591179976162
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2020,1.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2021,1.0043850703650825
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2022,1.0685775198389198
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2023,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2024,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1966,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1967,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1968,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1969,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1970,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1971,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1972,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1973,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1974,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1975,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1976,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1977,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1978,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1979,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1980,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1981,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1982,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1983,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1984,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1985,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1986,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1987,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1988,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1989,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1990,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1991,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1992,0.0
