BEHOLD,BRANCHE,TID,Xt
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2008,17701.000000000007
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2009,10689.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2010,8644.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2011,8309.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2012,8939.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2013,9511.000000000002
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2014,8883.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2015,8888.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2016,7847.999999999999
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2017,8513.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2018,8038.000000000001
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2019,8390.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2020,8046.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2021,9806.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2022,8443.0
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2023,
P.51g Faste bruttoinvesteringer,01000 Landbrug og gartneri,2024,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1966,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1967,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1968,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1969,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1970,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1971,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1972,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1973,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1974,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1975,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1976,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1977,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1978,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1979,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1980,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1981,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1982,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1983,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1984,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1985,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1986,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1987,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1988,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1989,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1990,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1991,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1992,
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1993,6200.000000000002
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1994,6403.000000000002
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1995,6422.000000000002
P.51g Faste bruttoinvesteringer,"10120 Føde-, drikke- og tobaksvareindustri",1996,8467.000000000002
